cluster_id,count,area,center,indices
0,8059,"[np.float64(39.3684666), np.float64(115.790067), np.float64(41.061525), np.float64(117.527001)]","[np.float64(39.98391696977997), np.float64(116.3644588585819)]",[   0    2    3 ... 9997 9998 9999]
1,19,"[np.float64(46.595162), np.float64(124.90024), np.float64(46.640249), np.float64(125.029677)]","[np.float64(46.61866663157895), np.float64(124.9423222631579)]","[  18  635  954 2487 2590 3626 3738 4556 5528 5789 6240 6361 6404 6412
 7061 7291 7686 8686 9913]"
2,13,"[np.float64(34.140951), np.float64(117.168003), np.float64(34.348916), np.float64(117.241855)]","[np.float64(34.2661847948718), np.float64(117.20286638461539)]",[  39  329  960 1427 4130 4462 4558 5134 5205 5321 7023 8525 9523]
3,63,"[np.float64(39.1029483333333), np.float64(116.948583), np.float64(39.394038), np.float64(117.243927)]","[np.float64(39.170197377777775), np.float64(117.17634523280422)]","[  40  104  119  177  594  622  672 1090 1092 1315 1333 1435 1565 1713
 1997 2055 2399 2525 2552 2573 2742 2858 2992 3288 3546 3623 3810 3877
 3956 4000 4178 4310 4479 4482 4516 5002 5238 5294 5627 5737 5748 5768
 5814 6125 6671 6926 6995 7044 7174 7213 7655 8037 8149 8154 8520 8549
 8566 8659 8752 9336 9415 9525 9833]"
4,32,"[np.float64(30.5152933), np.float64(114.218884), np.float64(30.646406), np.float64(114.362326666667)]","[np.float64(30.56849635416667), np.float64(114.30278733645834)]","[  47  467  491 1039 1116 1171 1606 1635 2087 2915 3029 3166 3521 3798
 3990 4153 4351 5266 5433 5743 6007 6072 6322 6871 6939 7900 8787 8834
 9177 9178 9651 9949]"
5,28,"[np.float64(47.612332), np.float64(-122.2777499), np.float64(47.754821), np.float64(-122.1182716)]","[np.float64(47.64011408571428), np.float64(-122.15259947857142)]","[  54  124  340  342  433  509 1481 2443 2455 2817 3487 3854 4030 4837
 5252 5260 5911 6149 6212 6866 6904 7069 7569 7833 7847 8772 8825 9643]"
6,6,"[np.float64(30.013946), np.float64(118.153035), np.float64(30.13031), np.float64(118.21828)]","[np.float64(30.078361166666667), np.float64(118.19223533333333)]",[  57 2704 4204 6895 8431 8949]
7,24,"[np.float64(31.5104516), np.float64(120.2410316), np.float64(31.6490333), np.float64(120.3847333)]","[np.float64(31.58491535), np.float64(120.3104297)]","[  63  291  714 1627 1908 2053 2329 2772 3066 3869 4104 4274 5089 5508
 5778 5782 5898 6824 6946 7122 7573 7808 9317 9698]"
8,26,"[np.float64(42.256885), np.float64(117.1278783), np.float64(42.5794683), np.float64(117.513769)]","[np.float64(42.45557357307693), np.float64(117.26398708076923)]","[  66  163  556  670  982 1101 1846 2280 2415 2585 3483 4032 4475 4581
 5310 5869 6658 6760 7548 7918 8469 8677 9203 9230 9848 9931]"
9,9,"[np.float64(35.608165), np.float64(114.180068), np.float64(35.9145866), np.float64(114.3396283)]","[np.float64(35.77731609629629), np.float64(114.2759282518519)]",[  67  823 1688 1777 3606 5128 6022 8406 8496]
10,18,"[np.float64(37.737662), np.float64(112.555644), np.float64(37.867465), np.float64(112.597241)]","[np.float64(37.82111855555556), np.float64(112.57424744444444)]","[  69 1220 1236 1824 3628 3945 4920 5156 5710 6501 6661 7652 8158 8365
 8802 8896 8975 9911]"
11,13,"[np.float64(18.2236933), np.float64(109.3914983), np.float64(18.2985416), np.float64(109.5352566)]","[np.float64(18.258490984615385), np.float64(109.49456212307693)]",[  85  736 2210 2723 3452 4544 4854 4958 5281 6499 8733 9490 9887]
12,12,"[np.float64(32.9718499), np.float64(114.0141249), np.float64(32.9952683333333), np.float64(114.037397)]","[np.float64(32.976846402777774), np.float64(114.02497079722225)]",[ 102 3884 4277 5441 5961 5977 6207 6320 6504 7547 9363 9504]
